YEAR,Actor2CountryCode,QuadClass,GoldsteinScale,Record Count
2002,RUS,2,-106,53
2002,RUS,3,-1181.6000000000001,338
2002,RUS,1,-51.399999999999935,96
2002,RUS,4,-1351.7000000000007,188
2002,RWA,1,0,0
2002,RWA,2,0,0
2002,RWA,3,0,0
2002,RWA,4,0,0
2002,SAU,4,-57.5,7
2002,SAU,3,-4,2
2002,SAU,1,0,0
2002,SAU,2,0,0
2002,SDN,3,-6,2
2002,SDN,1,0,0
2002,SDN,2,0,0
2002,SDN,4,0,0
2002,SEN,1,0,0
2002,SEN,2,0,0
2002,SEN,3,0,0
2002,SEN,4,0,0
2002,SGP,4,-77.2,15
2002,SGP,3,-42.4,17
2002,SGP,1,-3.6,5
2002,SGP,2,0,0
2002,SLE,1,0,0
2002,SLE,2,0,0
2002,SLE,3,0,0
2002,SLE,4,0,0
2002,SLV,1,0,0
2002,SLV,2,0,0
2002,SLV,3,0,0
2002,SLV,4,0,0
2002,SOM,1,0,0
2002,SOM,2,0,0
2002,SOM,3,0,0
2002,SOM,4,0,0
2002,SRB,3,-13,2
2002,SRB,4,-15,2
2002,SRB,1,0,0
2002,SRB,2,0,0
2002,SUR,4,-5,1
2002,SUR,1,0,0
2002,SUR,2,0,0
2002,SUR,3,0,0
2002,SVK,3,-26,7
2002,SVK,4,-5,1
2002,SVK,1,0,0
2002,SVK,2,0,0
2002,SVN,1,0,0
2002,SVN,2,0,0
2002,SVN,3,0,0
2002,SVN,4,0,0
2002,SWE,3,-10,2
2002,SWE,4,-25,5
2002,SWE,1,-0.8,2
2002,SWE,2,0,0
2002,SYR,2,-6,3
2002,SYR,1,0,0
2002,SYR,3,0,0
2002,SYR,4,0,0
2002,TCD,4,-4,1
2002,TCD,3,-5,1
2002,TCD,1,0,0
2002,TCD,2,0,0
2002,TGO,1,0,0
2002,TGO,2,0,0
2002,TGO,3,0,0
2002,TGO,4,0,0
2002,THA,4,-153.10000000000002,27
2002,THA,3,-85,24
2002,THA,1,-0.8,2
2002,THA,2,0,0
2002,TJK,2,-4,2
2002,TJK,3,-26.4,7
2002,TJK,1,-0.8,2
2002,TJK,4,-67.4,7
2002,TKM,3,-17,4
2002,TKM,4,-48,8
2002,TKM,1,0,0
2002,TKM,2,0,0
2002,TTO,1,0,0
2002,TTO,2,0,0
2002,TTO,3,0,0
2002,TTO,4,0,0
2002,TUN,3,-39,12
2002,TUN,1,-0.8,2
2002,TUN,2,0,0
2002,TUN,4,0,0
2002,TUR,1,-3.1999999999999997,8
2002,TUR,4,-75,10
2002,TUR,3,-85,16
2002,TUR,2,0,0
2002,TZA,3,-20,5
2002,TZA,1,0,0
2002,TZA,2,0,0
2002,TZA,4,0,0
2002,UGA,3,-8,4
2002,UGA,1,-0.4,1
2002,UGA,4,-38,8
2002,UGA,2,0,0
2002,UKR,2,-12,6
2002,UKR,4,-59,12
2002,UKR,3,-71,19
2002,UKR,1,-18.4,10
2002,URY,3,-4,2
2002,URY,1,0,0
2002,URY,2,0,0
2002,URY,4,0,0
2002,USA,2,-278,139
2002,USA,4,-3616.6999999999985,512
2002,USA,3,-4060.600000000007,1143
2002,USA,1,-137.2000000000001,264
2002,UZB,1,-2.6999999999999997,9
2002,UZB,2,-4,2
2002,UZB,3,-55.8,13
2002,UZB,4,-84,9
2002,VEN,3,-19,5
2002,VEN,1,0,0
2002,VEN,2,0,0
2002,VEN,4,0,0
2002,VNM,3,-245.80000000000004,73
2002,VNM,1,-0.8,2
2002,VNM,2,-12,6
2002,VNM,4,-1027.6,127
2002,VUT,1,0,0
2002,VUT,2,0,0
2002,VUT,3,0,0
2002,VUT,4,0,0
