YEAR,Actor2CountryCode,QuadClass,GoldsteinScale,Record Count
2002,ITA,2,-8,4
2002,ITA,4,-154,16
2002,JOR,4,-29.5,3
2002,JOR,2,-4,2
2002,JPN,2,-152,76
2002,JPN,3,-2391.400000000003,689
2002,JPN,1,-94.00000000000001,138
2002,JPN,4,-2271.8,357
2002,KAZ,4,-139.6,19
2002,KAZ,2,-12,6
2002,KAZ,3,-42.4,11
2002,KAZ,1,-5.600000000000001,10
2002,KEN,4,-54,9
2002,KEN,2,-6,3
2002,KEN,3,-6,3
2002,KGZ,2,-20,10
2002,KGZ,3,-217.5,52
2002,KGZ,1,-2,5
2002,KGZ,4,-1470.3000000000002,171
2002,KHM,4,-114.2,21
2002,KHM,1,-1.6,4
2002,KHM,2,-2,1
2002,KHM,3,-27,7
2002,KOR,3,-790,203
2002,KOR,4,-996.0999999999999,140
2002,KOR,2,-106,53
2002,KOR,1,-36.199999999999974,56
2002,KWT,4,-8,1
2002,KWT,3,-15,3
2002,LAO,1,-0.8,2
2002,LAO,3,-8,4
2002,LBN,4,-10,2
2002,LBN,3,-25,5
2002,LKA,1,-1.6,4
2002,LKA,3,-2,1
2002,LKA,4,-20,2
2002,LTU,4,-35,5
2002,LTU,3,-26,4
2002,LVA,3,-30,6
2002,MAC,4,-20,4
2002,MAC,1,-0.4,2
2002,MAC,3,-20.799999999999997,7
2002,MAC,2,-4,2
2002,MAR,1,-0.6,2
2002,MAR,2,-16,8
2002,MAR,3,-17,4
2002,MAR,4,-5,1
2002,MDA,4,-48,6
2002,MDA,3,-18,8
2002,MDG,3,-5,1
2002,MDG,1,-0.8,2
2002,MEX,3,-37.99999999999999,13
2002,MEX,4,-15,3
2002,MKD,4,-8,2
2002,MKD,3,-10,2
2002,MMR,1,-2,5
2002,MMR,4,-231.79999999999995,30
2002,MMR,3,-54.7,17
2002,MMR,2,-12,6
2002,MNG,3,-80.2,32
2002,MNG,4,-117.00000000000001,23
2002,MNG,1,-4.8,4
2002,MYS,4,-108.2,19
2002,MYS,1,-1.7000000000000002,5
2002,MYS,2,-6,3
2002,MYS,3,-132.40000000000003,38
2002,NAM,3,-14,7
2002,NAM,4,-89.5,10
2002,NGA,1,-1.2000000000000002,3
2002,NGA,2,-18,9
2002,NGA,3,-35.8,14
2002,NGA,4,-39,4
2002,NIC,3,-2,1
2002,NLD,4,-180,36
2002,NLD,1,-0.5,5
2002,NLD,3,-24.9,9
2002,NOR,3,-21,6
2002,NPL,2,-2,1
2002,NPL,3,-81.60000000000001,25
2002,NPL,4,-89.5,9
2002,NZL,4,-131.6,19
2002,NZL,1,-2,5
2002,NZL,3,-34,11
2002,PAK,1,-28.59999999999999,50
2002,PAK,4,-361.19999999999993,41
2002,PAK,3,-226.50000000000006,58
2002,PAN,3,-27.6,9
2002,PAN,4,-16,4
