YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2010,MDG,-8,2
2011,MDG,-13,2
2012,MDG,-4,3
2013,MDG,-30,15
2014,MDG,-18,23
2015,MDG,-22,12
2016,MDG,-20,46
2017,MDG,-80,28
2018,MDG,-19,2
2019,MDG,-4,26
2020,MDG,-80,20
2021,MDG,-10,2
2022,MDG,-14,2
2023,MDG,-5,7
2003,MEX,-6,5
2004,MEX,-10,6
2005,MEX,-4,13
2006,MEX,-4,3
2007,MEX,-60,34
2008,MEX,-9,17
2009,MEX,-72,712
2010,MEX,-10,67
2011,MEX,-5,178
2012,MEX,-38,82
2013,MEX,-5,85
2014,MEX,-20,189
2015,MEX,-45,199
2016,MEX,-5,379
2017,MEX,-13,353
2018,MEX,-8,335
2019,MEX,-1,248
2020,MEX,-40,220
2021,MEX,-49,151
2022,MEX,-2,85
2023,MEX,-7,203
2004,MKD,-10,1
2007,MKD,-10,8
2008,MKD,-5,1
2010,MKD,-10,1
2011,MKD,-20,4
2012,MKD,-8,2
2013,MKD,-10,4
2014,MKD,-5,6
2015,MKD,-29,13
2016,MKD,-20,11
2019,MKD,-90,18
2020,MKD,-18,16
2023,MKD,-22,8
2006,MLI,-26,4
2008,MLI,-10,5
2009,MLI,-8,3
2011,MLI,-114,12
2012,MLI,-5,12
2013,MLI,-30,7
2014,MLI,-80,27
2015,MLI,-630,371
2016,MLI,-30,381
2017,MLI,-97,40
2018,MLI,-15,34
2019,MLI,-30,8
2020,MLI,-24,8
2021,MLI,-9,41
2022,MLI,-10,19
2023,MLI,-5,20
2005,MLT,-10,2
2008,MLT,-5,1
2009,MLT,-10,14
2010,MLT,-29,6
2011,MLT,-9,53
2012,MLT,-10,5
2013,MLT,0,19
2014,MLT,-5,23
2015,MLT,-8,10
2016,MLT,-10,28
2017,MLT,-10,36
2018,MLT,-10,13
2019,MLT,-10,14
2020,MLT,-20,41
2021,MLT,-5,30
2022,MLT,-45,10
2023,MLT,-40,44
2003,MMR,-55,42
2004,MMR,-9,46
2005,MMR,-10,48
2006,MMR,-15,51
2007,MMR,-25,269
2008,MMR,-15,124
2009,MMR,-67,583
2010,MMR,-28,218
2011,MMR,-30,453
2012,MMR,-31,430
2013,MMR,-147,456
2014,MMR,-4,483
2015,MMR,-2,2307
2016,MMR,-106,822
2017,MMR,-24,734
2018,MMR,-15,467
2019,MMR,-30,368
2020,MMR,-28,443
2021,MMR,-72,814
2022,MMR,-33,265
2023,MMR,-5,772
2003,MNG,-15,5
2004,MNG,-38,7
2005,MNG,-19,16
2006,MNG,-10,22
2007,MNG,-5,13
2008,MNG,-20,49
2009,MNG,-6,84
2010,MNG,-8,91
2011,MNG,-98,328
2012,MNG,-30,168
2013,MNG,-80,192
2014,MNG,-24,234
2015,MNG,-16,389
2016,MNG,-23,567
2017,MNG,-60,321
2018,MNG,-10,199
2019,MNG,-90,244
2020,MNG,-5,751
2021,MNG,-5,139
2022,MNG,-127,161
2023,MNG,-13,248
2003,MOZ,-2,2
2005,MOZ,-10,3
2006,MOZ,-35,14
2007,MOZ,-12,10
2008,MOZ,-8,2
2009,MOZ,-25,7
2010,MOZ,-76,22
2011,MOZ,-20,7
2012,MOZ,-15,14
2013,MOZ,-20,9
2014,MOZ,-5,34
2015,MOZ,-20,30
2016,MOZ,-10,41
2017,MOZ,-110,14
2018,MOZ,-6,50
2019,MOZ,-15,55
2020,MOZ,-8,18
2021,MOZ,-4,39
2022,MOZ,-4,4
2023,MOZ,-29,9
2003,MUS,-7,2
2005,MUS,-10,3
2006,MUS,-4,1
2007,MUS,-15,5
2008,MUS,-5,1
2009,MUS,-20,2
2012,MUS,-5,1
2013,MUS,-5,2
2014,MUS,-15,7
2015,MUS,-5,15
2016,MUS,-5,6
2017,MUS,-8,9
2018,MUS,-10,16
2019,MUS,-5,1
2020,MUS,-36,50
2021,MUS,-10,11
2022,MUS,-15,11
2007,MWI,-8,2
2008,MWI,-8,13
2009,MWI,-7,25
2011,MWI,-2,2
2012,MWI,-5,9
2013,MWI,-18,17
2014,MWI,-2,8
2015,MWI,-10,38
2016,MWI,-20,44
2017,MWI,-9,12
2018,MWI,-5,38
2019,MWI,-5,109
2020,MWI,-35,55
2021,MWI,-20,39
2022,MWI,-4,62
2023,MWI,-5,51
2003,MYS,-40,53
2004,MYS,-7,34
2005,MYS,-16,44
2006,MYS,-14,80
2007,MYS,-25,188
2008,MYS,-59,232
2009,MYS,-30,280
2010,MYS,-20,318
2011,MYS,-5,445
2012,MYS,-8,358
2013,MYS,-20,477
2014,MYS,-114,2956
2015,MYS,-104,2068
2016,MYS,-25,1487
2017,MYS,-14,1297
2018,MYS,-10,946
2019,MYS,-15,896
2020,MYS,-293,1406
2021,MYS,-59,521
2022,MYS,-10,239
2023,MYS,-361,537
2003,NAM,-18,6
2004,NAM,-5,6
2005,NAM,-10,2
2006,NAM,-5,13
2007,NAM,-5,11
2008,NAM,-70,26
2009,NAM,-10,43
2010,NAM,-12,23
2011,NAM,-22,29
2012,NAM,-10,13
2013,NAM,-25,20
2014,NAM,-4,104
2015,NAM,-34,72
2016,NAM,-4,105
2017,NAM,-30,90
2018,NAM,-25,34
2019,NAM,-5,89
2020,NAM,-13,40
2021,NAM,-7,23
2022,NAM,-15,31
2023,NAM,-9,59
2006,NER,-20,6
2007,NER,-7,89
2008,NER,-4,1
2009,NER,-4,1
2010,NER,-9,1
2011,NER,-20,7
2012,NER,-20,2
2013,NER,-10,10
2014,NER,-7,1
2015,NER,-40,5
2016,NER,-5,5
2017,NER,-4,22
2018,NER,-120,21
2019,NER,-144,22
2020,NER,-5,6
2021,NER,-27,33
2022,NER,-10,28
2023,NER,-22,13
2003,NGA,-10,6
2004,NGA,-10,18
2005,NGA,-7,7
2006,NGA,-5,33
2007,NGA,-15,328
2008,NGA,-22,60
2009,NGA,-10,100
2010,NGA,-38,73
2011,NGA,-10,119
2012,NGA,-12,324
2013,NGA,-208,159
2014,NGA,-10,402
2015,NGA,-40,333
2016,NGA,-35,535
2017,NGA,-26,445
2018,NGA,-20,235
2019,NGA,-276,298
2020,NGA,-88,853
2021,NGA,-65,305
2022,NGA,-188,285
2023,NGA,-4,358
2004,NIC,-10,1
2007,NIC,-5,4
2009,NIC,-8,2
2012,NIC,-63,9
2013,NIC,-20,46
2014,NIC,-56,29
2015,NIC,-20,40
2016,NIC,-40,11
2017,NIC,-65,25
2018,NIC,-13,21
2019,NIC,-7,1
2020,NIC,-20,2
2021,NIC,-13,19
2022,NIC,-6,15
2023,NIC,-22,9
2003,NLD,-5,57
2004,NLD,-20,17
2005,NLD,-20,11
2006,NLD,-10,24
2007,NLD,-5,40
2008,NLD,-18,70
2009,NLD,-10,130
2010,NLD,-15,54
2011,NLD,-15,122
2012,NLD,-2,153
2013,NLD,-27,67
2014,NLD,-5,79
2015,NLD,-76,217
2016,NLD,-8,405
2017,NLD,-35,189
2018,NLD,-20,170
2019,NLD,-5,174
2020,NLD,-5,191
2021,NLD,-20,148
2022,NLD,-8,171
2023,NLD,-12,403
2003,NOR,-4,5
2004,NOR,-25,31
2006,NOR,-19,6
2007,NOR,-16,19
2008,NOR,-10,20
2009,NOR,-10,15
2010,NOR,-155,687
2011,NOR,-2,113
2012,NOR,-12,90
2013,NOR,-10,35
2014,NOR,-10,149
2015,NOR,-10,275
2016,NOR,-20,161
2017,NOR,-10,134
2018,NOR,-5,102
2019,NOR,-4,115
2020,NOR,-7,128
2021,NOR,-5,66
2022,NOR,-20,23
2023,NOR,-20,52
2003,NPL,-29,41
2004,NPL,-25,44
2005,NPL,-16,46
2006,NPL,-10,39
2007,NPL,-25,67
2008,NPL,-10,796
2009,NPL,-67,487
2010,NPL,-107,240
2011,NPL,-98,384
2012,NPL,-10,241
2013,NPL,-12,331
2014,NPL,-8,293
2015,NPL,-5,632
2016,NPL,-12,499
2017,NPL,-208,548
2018,NPL,-259,524
2019,NPL,-8,582
2020,NPL,-33,984
2021,NPL,-80,282
2022,NPL,-40,366
2023,NPL,-5,639
2003,NZL,-15,23
2004,NZL,-7,5
2005,NZL,-23,7
2006,NZL,-10,38
2007,NZL,-15,82
2008,NZL,-125,167
2009,NZL,-6,156
2010,NZL,-10,174
2011,NZL,-105,329
2012,NZL,-48,173
2013,NZL,-25,297
2014,NZL,-55,367
2015,NZL,-19,436
2016,NZL,-20,468
2017,NZL,-58,273
2018,NZL,0,392
2019,NZL,-33,667
2020,NZL,-32,1086
2021,NZL,-20,246
2022,NZL,-4,321
2023,NZL,-24,407
2009,OMN,-10,5
2010,OMN,-9,1
2011,OMN,-46,36
2012,OMN,-15,24
2013,OMN,-18,23
2014,OMN,-12,20
2015,OMN,-5,9
2016,OMN,-5,15
2017,OMN,-12,14
2018,OMN,-5,23
2019,OMN,-7,50
2020,OMN,-20,118
2021,OMN,-10,7
2022,OMN,-15,15
2023,OMN,-14,40
2003,PAK,-40,99
2004,PAK,-10,352
2005,PAK,-54,50
2006,PAK,-7,273
2007,PAK,-8,685
2008,PAK,-18,264
2009,PAK,-5,702
2010,PAK,-7,561
2011,PAK,-4,909
2012,PAK,-39,660
2013,PAK,-11,935
2014,PAK,-182,1399
2015,PAK,-192,1912
2016,PAK,-732,3467
2017,PAK,-166,4153
2018,PAK,-61,3694
2019,PAK,-2201,2471
2020,PAK,-39,2904
2021,PAK,-9,2817
2022,PAK,-338,2485
2023,PAK,-10,1596
2003,PAN,-8,2
2004,PAN,-10,2
2007,PAN,-4,14
2008,PAN,-9,10
2009,PAN,-20,3
2010,PAN,-37,5
2011,PAN,-5,5
2012,PAN,-20,3
2013,PAN,-5,11
2014,PAN,-20,5
2015,PAN,-30,12
2016,PAN,-19,200
2017,PAN,-20,59
2018,PAN,-10,52
2019,PAN,-15,45
2020,PAN,-149,47
2021,PAN,-10,5
2022,PAN,-26,5
2023,PAN,-10,57
2006,PER,-15,7
2007,PER,-7,9
2008,PER,-5,14
2009,PER,-15,23
2010,PER,-19,8
2011,PER,-10,16
2012,PER,-30,15
2013,PER,-13,28
2014,PER,-30,35
2015,PER,-13,71
2016,PER,-10,92
2017,PER,-15,65
2018,PER,-20,63
2019,PER,-9,99
2020,PER,-20,113
2021,PER,-80,60
2022,PER,-5,29
2023,PER,-10,33
2003,PHL,-33,157
2004,PHL,-7,45
2005,PHL,-20,41
2006,PHL,-40,77
2007,PHL,-18,156
2008,PHL,-40,246
2009,PHL,-223,728
2010,PHL,-10,728
2011,PHL,-39,2952
2012,PHL,-1162,3535
2013,PHL,-35,2634
2014,PHL,-29,5406
2015,PHL,-290,4068
2016,PHL,-370,7173
2017,PHL,-159,2811
2018,PHL,-10,2444
2019,PHL,-38,4322
2020,PHL,-65,3106
2021,PHL,-105,2929
2022,PHL,-153,1809
2023,PHL,-257,5332
2004,PNG,-5,6
2006,PNG,-16,4
2007,PNG,-20,14
2008,PNG,-10,10
2009,PNG,-19,70
2010,PNG,-15,33
2011,PNG,-10,8
2012,PNG,-10,4
2013,PNG,-10,81
2014,PNG,-10,7
2015,PNG,-27,10
2016,PNG,-2,32
2017,PNG,-10,24
2018,PNG,-10,125
2019,PNG,-30,54
2020,PNG,-15,87
2021,PNG,-10,9
2022,PNG,-14,23
2023,PNG,-60,40
2003,POL,-20,5
2004,POL,-20,17
2006,POL,-10,7
2007,POL,-29,16
2008,POL,-4,64
2009,POL,-160,105
2010,POL,-20,21
2011,POL,-7,38
2012,POL,-5,49
2013,POL,-30,41
2014,POL,-7,61
2015,POL,-10,80
2016,POL,-20,135
2017,POL,-48,63
2018,POL,-5,86
2019,POL,-44,782
2020,POL,-10,134
2021,POL,-43,125
2022,POL,-25,74
2023,POL,-7,82
2003,PRK,-40,687
2004,PRK,-344,653
2005,PRK,-120,346
2006,PRK,-29,723
2007,PRK,-1,517
2008,PRK,-40,318
2009,PRK,-35,1311
2010,PRK,-132,1602
2011,PRK,-6,711
2012,PRK,-20,1055
2013,PRK,-144,1646
2014,PRK,-12,1795
2015,PRK,-83,2408
2016,PRK,-30,5777
2017,PRK,-1444,12258
2018,PRK,-828,4109
2019,PRK,-44,1638
2020,PRK,-185,1534
2021,PRK,-6,769
2022,PRK,-28,850
2023,PRK,-25,1124
2003,PRT,-30,5
2004,PRT,-32,9
2005,PRT,-24,3
2006,PRT,-5,2
2007,PRT,-4,22
2008,PRT,-20,9
2009,PRT,-8,16
2010,PRT,-25,14
2011,PRT,-10,40
2012,PRT,-30,31
2013,PRT,-19,20
2014,PRT,-5,70
2015,PRT,-5,43
2016,PRT,-2,64
2017,PRT,-27,88
2018,PRT,-8,115
2019,PRT,-10,109
2020,PRT,-30,37
2021,PRT,-10,40
2022,PRT,-5,28
2023,PRT,-5,47
2004,PRY,-4,1
2007,PRY,-18,2
2008,PRY,-24,6
2009,PRY,-5,1
2012,PRY,-10,2
2014,PRY,-15,8
2015,PRY,-25,37
2016,PRY,-48,11
2017,PRY,-20,11
2018,PRY,-4,6
2019,PRY,-24,7
2020,PRY,-16,6
2021,PRY,-20,2
2023,PRY,-8,13
2003,QAT,-10,4
2005,QAT,-19,2
2006,QAT,-28,4
2007,QAT,-2,2
2008,QAT,-5,4
2009,QAT,-2,6
2010,QAT,-5,16
2011,QAT,-7,9
2012,QAT,-10,66
2013,QAT,-5,78
2014,QAT,-40,135
2015,QAT,-20,74
2016,QAT,-15,49
2017,QAT,-24,62
2018,QAT,-20,35
2019,QAT,-9,19
2020,QAT,-10,151
2021,QAT,-7,54
2022,QAT,-7,56
2023,QAT,-5,46
2003,RUS,-1,511
2004,RUS,-73,476
2005,RUS,-10,552
2006,RUS,-25,464
2007,RUS,-30,849
2008,RUS,-20,648
2009,RUS,-30,1051
2010,RUS,-12,904
2011,RUS,-12,1048
2012,RUS,-269,1842
2013,RUS,-30,1473
2014,RUS,-82,2091
2015,RUS,-8,3410
2016,RUS,-356,3515
2017,RUS,-8,4243
2018,RUS,-20,4163
2019,RUS,-77,3277
2020,RUS,-65,4316
2021,RUS,-245,3213
2022,RUS,-350,5034
2023,RUS,-8,4679
2003,RWA,-15,3
2004,RWA,-30,3
2006,RWA,-16,4
2007,RWA,-22,10
2008,RWA,-24,6
2009,RWA,-21,7
2010,RWA,-5,1
2011,RWA,-5,6
2012,RWA,-10,5
2013,RWA,-10,4
2014,RWA,-32,18
2015,RWA,-30,18
2016,RWA,-4,79
2017,RWA,-15,22
2018,RWA,-80,33
2019,RWA,-44,23
