YEAR,Actor2CountryCode,QuadClass,GoldsteinScale,Record Count
2003,ITA,3,-36,11
2003,ITA,4,-103,14
2003,ITA,1,0,0
2003,ITA,2,0,0
2003,JAM,4,-39,7
2003,JAM,1,0,0
2003,JAM,2,0,0
2003,JAM,3,0,0
2003,JOR,3,-6.5,1
2003,JOR,1,-0.4,1
2003,JOR,4,-5,1
2003,JOR,2,0,0
2003,JPN,4,-4244.199999999998,602
2003,JPN,3,-2942.200000000002,867
2003,JPN,1,-107.40000000000016,190
2003,JPN,2,-156,78
2003,KAZ,4,-395.79999999999995,59
2003,KAZ,1,-0.8,2
2003,KAZ,3,-32.4,8
2003,KAZ,2,0,0
2003,KEN,4,-20,3
2003,KEN,2,-2,1
2003,KEN,3,-23.200000000000003,8
2003,KEN,1,0,0
2003,KGZ,1,-5.2,13
2003,KGZ,2,-16,8
2003,KGZ,3,-60.9,19
2003,KGZ,4,-524.9,72
2003,KHM,1,-1.6,4
2003,KHM,4,-108,16
2003,KHM,3,-36.4,12
2003,KHM,2,0,0
2003,KOR,1,-30.799999999999983,68
2003,KOR,4,-1285.1000000000001,215
2003,KOR,3,-635.4999999999998,180
2003,KOR,2,-50,25
2003,KWT,4,-122,14
2003,KWT,2,-4,2
2003,KWT,1,-2.4,6
2003,KWT,3,0,0
2003,LAO,4,-95,12
2003,LAO,2,-14,7
2003,LAO,3,-2,1
2003,LAO,1,0,0
2003,LBN,4,-10,2
2003,LBN,1,-1.6,4
2003,LBN,3,-19,6
2003,LBN,2,0,0
2003,LBR,3,-12.8,4
2003,LBR,4,-62,8
2003,LBR,1,0,0
2003,LBR,2,0,0
2003,LKA,1,-2,5
2003,LKA,3,-43,11
2003,LKA,2,-4,2
2003,LKA,4,-161,19
2003,LTU,4,-19.5,2
2003,LTU,1,-1.2000000000000002,3
2003,LTU,2,0,0
2003,LTU,3,0,0
2003,LUX,1,0,0
2003,LUX,2,0,0
2003,LUX,3,0,0
2003,LUX,4,0,0
2003,LVA,1,0,0
2003,LVA,2,0,0
2003,LVA,3,0,0
2003,LVA,4,0,0
2003,MAC,1,-2.8,3
2003,MAC,4,-69,8
2003,MAC,2,-6,3
2003,MAC,3,-14,4
2003,MAR,4,-20,2
2003,MAR,3,-41,7
2003,MAR,1,0,0
2003,MAR,2,0,0
2003,MDA,1,0,0
2003,MDA,2,0,0
2003,MDA,3,0,0
2003,MDA,4,0,0
2003,MDG,1,0,0
2003,MDG,2,0,0
2003,MDG,3,0,0
2003,MDG,4,0,0
2003,MEX,4,-14,2
2003,MEX,3,-45.8,17
2003,MEX,2,-8,4
2003,MEX,1,0,0
2003,MKD,3,-10,2
2003,MKD,1,-0.8,2
2003,MKD,2,0,0
2003,MKD,4,0,0
2003,MLI,3,-8,2
2003,MLI,1,0,0
