YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2005,MKD,0,0
2005,MLI,0,0
2005,MLT,-10,2
2005,MMR,-327.9,59
2005,MNE,0,0
2005,MNG,-157.89999999999998,25
2005,MOZ,-14.3,5
2005,MUS,-20,3
2005,MWI,-4,2
2005,MYS,-352.3,94
2005,NAM,-17,3
2005,NER,0,0
2005,NGA,-112.7,21
2005,NIC,0,0
2005,NLD,-71,15
2005,NOR,-4,1
2005,NPL,-300.9,88
2005,NZL,-55.599999999999994,12
2005,OMN,0,0
2005,PAK,-456.0999999999999,77
2005,PAN,-8,2
2005,PER,-4,2
2005,PHL,-361.0999999999999,72
2005,PNG,-4,2
2005,POL,-5.200000000000001,5
2005,PRK,-3206.800000000003,599
2005,PRT,-24,3
2005,PRY,0,0
2005,QAT,-21,7
2005,ROM,0,0
2005,RUS,-5064.999999999992,964
2005,RWA,0,0
2005,SAU,-47,13
2005,SDN,-31.599999999999998,15
2005,SEN,-41.2,9
2005,SGP,-486.79999999999995,101
2005,SLE,-52,7
2005,SLV,0,0
2005,SOM,-34,5
2005,SRB,-5.800000000000001,3
2005,SUR,-2,1
2005,SVK,-37.5,7
2005,SVN,0,0
2005,SWE,-52.39999999999999,17
2005,SYR,-41.4,13
2005,TCD,0,0
2005,TGO,0,0
2005,THA,-257.29999999999995,43
2005,TJK,-49,10
2005,TKM,-30.900000000000002,6
2005,TTO,-8,1
2005,TUN,-2,1
2005,TUR,-194.8,30
2005,TZA,0,0
2005,UGA,-52.4,13
2005,UKR,-163.60000000000002,39
2005,URY,-13,5
2005,USA,-7426.999999999988,1931
2005,UZB,-120.5,30
2005,VEN,-6,2
2005,VNM,-752.5999999999999,112
2005,VUT,-26,5
2005,YEM,-5,1
2005,ZAF,-25.4,9
2005,ZMB,-10,5
2005,ZWE,-101.5,25
2006,AFG,-344.79999999999995,65
2006,AGO,-39.8,12
2006,ARE,-6,3
2006,ARG,-2,1
2006,ARM,-4,2
2006,ATG,0,0
2006,AUS,-767.0999999999995,189
2006,AUT,-155.20000000000002,39
2006,AZE,-10,2
2006,BEL,-106.9,37
2006,BGD,-75.2,14
2006,BGR,-10,5
2006,BHR,-14.4,2
2006,BIH,0,0
2006,BLR,-41,8
2006,BMU,0,0
2006,BOL,-30,3
2006,BRA,-65.19999999999999,15
2006,BRN,-153.9,23
