YEAR,MonthYear,SubEventType,Record Count
2017,201707,1,117
2017,201707,2,64
2017,201707,3,482
2017,201707,4,181
2017,201707,5,27
2017,201707,6,1229
2017,201708,1,56
2017,201708,2,10
2017,201708,3,256
2017,201708,4,175
2017,201708,5,19
2017,201708,6,575
2017,201709,1,30
2017,201709,2,3
2017,201709,3,72
2017,201709,4,36
2017,201709,5,6
2017,201709,6,182
2017,201710,1,8
2017,201710,2,20
2017,201710,3,43
2017,201710,4,37
2017,201710,5,26
2017,201710,6,158
2017,201711,1,6
2017,201711,2,20
2017,201711,3,21
2017,201711,4,32
2017,201711,5,4
2017,201711,6,218
2017,201712,1,9
2017,201712,2,12
2017,201712,3,42
2017,201712,4,69
2017,201712,5,2
2017,201712,6,186
2018,201801,1,6
2018,201801,2,10
2018,201801,3,51
2018,201801,4,51
2018,201801,5,8
2018,201801,6,168
2018,201802,1,4
2018,201802,2,32
2018,201802,3,26
2018,201802,4,37
2018,201802,5,22
2018,201802,6,156
2018,201803,1,11
2018,201803,2,21
2018,201803,3,50
2018,201803,4,40
2018,201803,5,4
2018,201803,6,160
2018,201804,1,12
2018,201804,2,35
2018,201804,3,48
2018,201804,4,51
2018,201804,5,6
2018,201804,6,186
2018,201805,2,3
2018,201805,3,21
2018,201805,4,8
2018,201805,5,5
2018,201805,6,69
2018,201806,1,39
2018,201806,2,3
2018,201806,3,31
2018,201806,4,46
2018,201806,5,16
2018,201806,6,88
2018,201807,1,2
2018,201807,2,2
2018,201807,3,20
2018,201807,4,44
2018,201807,5,20
2018,201807,6,89
2018,201808,1,7
2018,201808,2,4
2018,201808,3,29
2018,201808,4,12
2018,201808,5,8
2018,201808,6,87
2018,201809,1,23
2018,201809,2,4
2018,201809,3,28
2018,201809,4,39
2018,201809,5,5
2018,201809,6,154
2018,201810,1,4
2018,201810,2,7
2018,201810,3,33
2018,201810,4,9
2018,201810,5,14
2018,201810,6,82
2018,201811,2,3
2018,201811,3,28
2018,201811,4,37
2018,201811,5,8
2018,201811,6,75
2018,201812,1,8
2018,201812,2,5
2018,201812,3,15
2018,201812,4,15
2018,201812,5,4
2018,201812,6,57
2019,201901,2,2
2019,201901,3,15
2019,201901,4,16
2019,201901,5,4
2019,201901,6,43
2019,201902,1,4
2019,201902,2,26
2019,201902,3,35
2019,201902,4,28
2019,201902,5,9
2019,201902,6,123
2019,201903,1,5
2019,201903,2,6
2019,201903,3,44
2019,201903,4,16
2019,201903,5,22
2019,201903,6,134
2019,201904,1,11
2019,201904,2,58
2019,201904,3,25
2019,201904,4,14
2019,201904,5,87
2019,201904,6,137
2019,201905,1,5
2019,201905,2,12
2019,201905,3,17
2019,201905,4,16
2019,201905,5,15
2019,201905,6,84
2019,201906,1,16
2019,201906,3,29
2019,201906,4,13
2019,201906,5,16
2019,201906,6,71
2019,201907,2,11
2019,201907,3,41
2019,201907,4,15
2019,201907,5,11
2019,201907,6,55
2019,201908,1,10
2019,201908,2,2
2019,201908,3,21
2019,201908,4,8
2019,201908,5,25
2019,201908,6,246
2019,201909,1,9
2019,201909,2,2
2019,201909,3,28
2019,201909,4,26
2019,201909,5,13
2019,201909,6,107
2019,201910,1,54
2019,201910,2,34
2019,201910,3,70
2019,201910,4,42
2019,201910,5,3
2019,201910,6,216
2019,201911,1,2
2019,201911,2,5
2019,201911,3,11
2019,201911,4,24
2019,201911,5,4
2019,201911,6,87
2019,201912,1,3
2019,201912,2,8
2019,201912,3,33
2019,201912,4,35
2019,201912,5,11
2019,201912,6,96
2020,202001,1,85
2020,202001,2,1
2020,202001,3,57
2020,202001,4,26
2020,202001,5,7
2020,202001,6,156
2020,202002,1,185
2020,202002,2,8
2020,202002,3,18
2020,202002,4,37
2020,202002,5,19
2020,202002,6,175
2020,202003,1,42
2020,202003,2,3
2020,202003,3,42
2020,202003,4,17
2020,202003,5,17
2020,202003,6,90
2020,202004,1,17
2020,202004,2,7
2020,202004,3,25
2020,202004,4,23
2020,202004,5,4
2020,202004,6,104
2020,202005,1,17
2020,202005,2,3
2020,202005,3,210
2020,202005,4,124
2020,202005,5,6
2020,202005,6,354
2020,202006,1,158
2020,202006,2,164
2020,202006,3,712
2020,202006,4,163
2020,202006,5,141
2020,202006,6,895
2020,202007,1,32
2020,202007,2,32
2020,202007,3,196
2020,202007,4,71
2020,202007,5,164
2020,202007,6,411
2020,202008,1,38
2020,202008,2,19
2020,202008,3,143
2020,202008,4,108
2020,202008,5,52
2020,202008,6,239
2020,202009,1,20
2020,202009,2,10
2020,202009,3,146
2020,202009,4,210
2020,202009,5,85
2020,202009,6,407
2020,202010,1,11
2020,202010,2,3
2020,202010,3,89
2020,202010,4,46
2020,202010,5,20
2020,202010,6,173
2020,202011,1,10
2020,202011,2,8
2020,202011,3,53
2020,202011,4,15
2020,202011,5,47
2020,202011,6,61
2020,202012,1,9
2020,202012,2,9
2020,202012,3,52
2020,202012,4,21
2020,202012,5,14
2020,202012,6,85
